"행정구역별(시군구)","연령별",2018,2019,2020,2021,2022
"행정구역별(시군구)","연령별",1인가구,1인가구,1인가구,1인가구,1인가구
"전국","합계",5848594,6147516,6643354,7165788,7502350
"전국","20세 미만",58154,59415,76202,54052,53088
"전국","20~24",402476,431750,492331,492845,485508
"전국","25~29",617468,685831,774580,870707,901044
"전국","30~34",522405,554883,618401,704883,774710
"전국","35~39",470332,480733,497117,521151,524136
"전국","40~44",400122,401653,427295,467949,494473
"전국","45~49",464099,470000,476521,482287,483104
"전국","50~54",450375,470795,497959,541978,568098
"전국","55~59",524069,528252,541536,558936,569407
"전국","60~64",494506,531357,580701,646566,675366
"전국","65~69",375398,401256,458284,529542,577241
"전국","70~74",330897,352769,382524,413137,442851
"전국","75~79",340000,343332,350191,358008,366133
"전국","80~84",246166,264647,278856,304030,339221
"전국","85세 이상",152127,170843,190856,219717,247970
"읍부","합계",539706,563446,620899,674454,694083
"읍부","20세 미만",5176,5014,6999,5187,4482
"읍부","20~24",29125,29470,37545,35790,33147
"읍부","25~29",42203,46020,53027,59805,59913
"읍부","30~34",38844,41034,46324,53125,55950
"읍부","35~39",39260,40417,42216,44331,43119
"읍부","40~44",37083,37214,40744,45537,46841
"읍부","45~49",44803,45985,47885,49346,49272
"읍부","50~54",45916,48335,52497,57939,60392
"읍부","55~59",53471,54431,57454,60605,61365
"읍부","60~64",48896,52333,58818,66886,70165
"읍부","65~69",37718,40003,46087,53765,58098
"읍부","70~74",33559,35745,39185,42839,45706
"읍부","75~79",37572,37341,37967,38724,38540
"읍부","80~84",28079,30057,31757,34585,38187
"읍부","85세 이상",18001,20047,22394,25990,28906
"면부","합계",684456,686531,721965,762310,784909
"면부","20세 미만",4996,4426,7747,4528,4919
"면부","20~24",26932,24731,30027,28664,27524
"면부","25~29",29593,29102,31675,35559,34821
"면부","30~34",24534,24859,26896,30488,31211
"면부","35~39",25701,25403,25800,26560,25838
"면부","40~44",26868,26211,27315,29209,30294
"면부","45~49",38244,37099,37741,37310,37230
"면부","50~54",50281,50676,52358,55142,55574
"면부","55~59",68676,67626,69076,70191,71357
"면부","60~64",69512,73256,80111,89398,94382
"면부","65~69",59346,60995,67413,76842,82884
"면부","70~74",60041,60484,63054,67019,70049
"면부","75~79",81132,76637,73722,71266,67408
"면부","80~84",70809,72521,72492,75878,80909
"면부","85세 이상",47791,52505,56538,64256,70509
"동부","합계",4624432,4897539,5300490,5729024,6023358
"동부","20세 미만",47982,49975,61456,44337,43687
"동부","20~24",346419,377549,424759,428391,424837
"동부","25~29",545672,610709,689878,775343,806310
"동부","30~34",459027,488990,545181,621270,687549
"동부","35~39",405371,414913,429101,450260,455179
"동부","40~44",336171,338228,359236,393203,417338
"동부","45~49",381052,386916,390895,395631,396602
"동부","50~54",354178,371784,393104,428897,452132
"동부","55~59",401922,406195,415006,428140,436685
"동부","60~64",376098,405768,441772,490282,510819
"동부","65~69",278334,300258,344784,398935,436259
"동부","70~74",237297,256540,280285,303279,327096
"동부","75~79",221296,229354,238502,248018,260185
"동부","80~84",147278,162069,174607,193567,220125
"동부","85세 이상",86335,98291,111924,129471,148555
"서울특별시","합계",1229421,1299787,1390701,1489893,1564187
"서울특별시","20세 미만",14487,12806,14185,10687,12872
"서울특별시","20~24",109213,116592,123990,126833,129586
"서울특별시","25~29",195284,216707,238517,263071,275723
"서울특별시","30~34",155740,166340,183573,204717,224798
"서울특별시","35~39",118254,121980,126485,131942,133594
"서울특별시","40~44",84910,85728,91518,99293,104993
"서울특별시","45~49",88852,90140,90186,89640,88732
"서울특별시","50~54",75442,78665,82704,89413,93831
"서울특별시","55~59",83433,84285,84976,86500,86408
"서울특별시","60~64",82818,88456,94834,102413,104578
"서울특별시","65~69",63468,67696,77047,88494,95561
"서울특별시","70~74",56393,61035,65469,69402,73327
"서울특별시","75~79",49529,51747,54109,57061,60023
"서울특별시","80~84",31917,35227,37968,42020,47777
"서울특별시","85세 이상",19681,22383,25140,28407,32384
"부산광역시","합계",404408,423227,455207,487362,511745
"부산광역시","20세 미만",4460,4781,4873,3274,3522
"부산광역시","20~24",30068,32388,36543,36967,37333
"부산광역시","25~29",37510,41339,46740,53212,55655
"부산광역시","30~34",27764,29525,33655,39647,44373
"부산광역시","35~39",26476,26674,27809,28877,29233
"부산광역시","40~44",22776,22725,24544,27218,29017
"부산광역시","45~49",28513,28559,28650,28461,28358
"부산광역시","50~54",29232,30209,31838,33971,35480
"부산광역시","55~59",38461,37779,37611,37536,37476
"부산광역시","60~64",42559,44513,46987,50051,50689
"부산광역시","65~69",34236,36399,41298,46192,49803
"부산광역시","70~74",29071,31214,34080,36853,39553
"부산광역시","75~79",27162,27926,28761,29123,30608
"부산광역시","80~84",17139,18886,20250,22651,25442
"부산광역시","85세 이상",8981,10310,11568,13329,15203
"대구광역시","합계",269903,284416,304543,326866,341667
"대구광역시","20세 미만",2682,3693,2757,2039,2485
"대구광역시","20~24",18057,20916,21684,22083,22337
"대구광역시","25~29",25076,27730,31704,35514,36202
"대구광역시","30~34",20153,21138,23990,27563,30287
"대구광역시","35~39",19056,19196,19702,20654,20521
"대구광역시","40~44",17640,17148,18143,19357,20199
"대구광역시","45~49",21914,21858,21874,21873,21323
"대구광역시","50~54",22346,22983,24351,26009,26898
"대구광역시","55~59",26664,26846,27615,27999,28350
"대구광역시","60~64",24956,26831,29264,32418,33968
"대구광역시","65~69",20505,21470,24493,27636,29791
"대구광역시","70~74",16350,17663,19568,21693,23638
"대구광역시","75~79",16783,17164,17391,17391,17952
"대구광역시","80~84",11416,12559,13637,14898,16581
"대구광역시","85세 이상",6305,7221,8370,9739,11135
"인천광역시","합계",275898,297865,324841,355657,376392
"인천광역시","20세 미만",1278,1803,2510,2040,1643
"인천광역시","20~24",11469,15019,17208,18002,17146
"인천광역시","25~29",24628,29114,34268,39351,40818
"인천광역시","30~34",23530,25370,28844,34119,39117
"인천광역시","35~39",24507,24992,25483,26996,27779
"인천광역시","40~44",22006,22235,23655,26065,27629
"인천광역시","45~49",26049,26476,26709,27001,27026
"인천광역시","50~54",24729,26102,27592,29864,31782
"인천광역시","55~59",28902,29383,30473,31584,31987
"인천광역시","60~64",25769,28723,31801,35785,37758
"인천광역시","65~69",17877,19645,22911,27344,30340
"인천광역시","70~74",15267,16738,18468,19652,21407
"인천광역시","75~79",14121,14735,15499,16333,17349
"인천광역시","80~84",9675,10645,11459,12460,14287
"인천광역시","85세 이상",6091,6885,7961,9061,10324
"광주광역시","합계",174614,182364,193948,212385,221464
"광주광역시","20세 미만",2178,2512,2761,2132,1808
"광주광역시","20~24",15472,16440,17982,18368,17654
"광주광역시","25~29",18635,20768,23291,27151,28028
"광주광역시","30~34",16129,16414,17700,19940,22296
"광주광역시","35~39",15378,15563,15817,16565,16207
"광주광역시","40~44",13130,13061,13684,15024,15873
"광주광역시","45~49",14590,14674,14641,15418,15323
"광주광역시","50~54",13805,14432,14868,16576,17476
"광주광역시","55~59",15387,15298,15300,16216,16923
"광주광역시","60~64",13128,14295,15680,18100,18906
"광주광역시","65~69",9984,10476,11841,13592,14909
"광주광역시","70~74",8796,9497,10222,11272,11853
"광주광역시","75~79",8701,8809,9110,9397,9679
"광주광역시","80~84",5908,6273,6657,7496,8702
"광주광역시","85세 이상",3393,3852,4394,5138,5827
"대전광역시","합계",195544,205165,228842,240932,249006
"대전광역시","20세 미만",4829,4913,7850,4726,3891
"대전광역시","20~24",27282,27957,35082,33596,31332
"대전광역시","25~29",26409,28985,32800,36499,38444
"대전광역시","30~34",18323,19615,21864,24422,26840
"대전광역시","35~39",14685,15021,15705,16425,16396
"대전광역시","40~44",12354,12324,12747,14094,14754
"대전광역시","45~49",14005,13873,14219,14288,14452
"대전광역시","50~54",12961,13886,14613,16149,17001
"대전광역시","55~59",15420,15383,15647,15950,16108
"대전광역시","60~64",14330,15485,16701,18517,19411
"대전광역시","65~69",10003,10949,12595,14707,16085
"대전광역시","70~74",8172,8828,9846,10731,11670
"대전광역시","75~79",7869,8160,8534,8800,8960
"대전광역시","80~84",5544,6047,6339,6960,7960
"대전광역시","85세 이상",3358,3739,4300,5068,5702
"울산광역시","합계",110236,116015,122848,133061,137096
"울산광역시","20세 미만",417,931,611,409,328
"울산광역시","20~24",4453,5526,5468,5494,5123
"울산광역시","25~29",10313,10831,12167,14239,14171
"울산광역시","30~34",9868,10060,10970,12378,13177
"울산광역시","35~39",10082,10012,9900,10146,9757
"울산광역시","40~44",9174,8883,9416,10115,10476
"울산광역시","45~49",10624,10753,10769,10697,10508
"울산광역시","50~54",10343,10771,11342,12150,12556
"울산광역시","55~59",11687,11822,12058,12308,12509
"울산광역시","60~64",10693,11674,12760,14149,14525
"울산광역시","65~69",7375,8190,9453,11072,12042
"울산광역시","70~74",5561,6097,6818,7646,8458
"울산광역시","75~79",4955,5173,5296,5640,5881
"울산광역시","80~84",3011,3346,3670,4077,4685
"울산광역시","85세 이상",1680,1946,2150,2541,2900
"세종특별자치시","합계",35763,39078,43577,45706,50561
"세종특별자치시","20세 미만",919,796,1330,673,813
"세종특별자치시","20~24",5953,5479,6881,5031,5999
"세종특별자치시","25~29",5330,6073,6623,7282,7960
"세종특별자치시","30~34",4152,4864,5478,6546,7446
"세종특별자치시","35~39",3365,3734,3855,4251,4625
"세종특별자치시","40~44",2544,2889,3072,3556,3956
"세종특별자치시","45~49",2544,2936,3017,3243,3376
"세종특별자치시","50~54",2297,2623,2825,3309,3517
"세종특별자치시","55~59",2287,2429,2535,2680,2842
"세종특별자치시","60~64",1828,2148,2321,2763,2908
"세종특별자치시","65~69",1296,1449,1686,2065,2323
"세종특별자치시","70~74",969,1141,1274,1410,1597
"세종특별자치시","75~79",1037,1089,1117,1132,1208
"세종특별자치시","80~84",757,834,891,989,1141
"세종특별자치시","85세 이상",485,594,672,776,850
"경기도","합계",1197586,1290893,1406010,1543100,1634147
"경기도","20세 미만",7206,7590,8910,7055,8828
"경기도","20~24",56321,62973,71125,75866,79028
"경기도","25~29",124628,143503,165901,189191,194790
"경기도","30~34",119019,130162,147266,172403,190217
"경기도","35~39",114700,119825,124823,132097,133772
"경기도","40~44",100028,102842,109713,120607,127857
"경기도","45~49",113174,117392,119770,121881,122445
"경기도","50~54",104181,111353,118136,129783,137570
"경기도","55~59",112879,116975,121372,126334,130022
"경기도","60~64",99970,110259,122173,137512,145258
"경기도","65~69",69212,76574,89745,105996,117335
"경기도","70~74",60065,65253,71100,76003,82941
"경기도","75~79",55547,58022,60832,63890,67295
"경기도","80~84",38086,42249,45389,50166,56989
"경기도","85세 이상",22570,25921,29755,34316,39800
"강원도","합계",206295,208857,231371,245012,254441
"강원도","20세 미만",2397,1982,4983,2923,1632
"강원도","20~24",17615,15984,21177,19613,18422
"강원도","25~29",17112,16968,19262,21764,22521
"강원도","30~34",11737,12063,13740,15525,17243
"강원도","35~39",10769,10751,11401,11925,11906
"강원도","40~44",10969,10663,11314,12277,12943
"강원도","45~49",14524,14226,14554,14644,14884
"강원도","50~54",16889,17213,18255,19414,20006
"강원도","55~59",21806,21936,22059,22599,22772
"강원도","60~64",20878,22177,24382,27400,28763
"강원도","65~69",14694,15994,18579,21836,23999
"강원도","70~74",14335,14631,14964,15515,17078
"강원도","75~79",15043,15193,15634,15864,15829
"강원도","80~84",10746,11573,12578,13895,15379
"강원도","85세 이상",6781,7503,8489,9818,11064
"충청북도","합계",204109,215196,236208,252251,260948
"충청북도","20세 미만",2301,2560,4594,2935,1947
"충청북도","20~24",16763,18411,22598,20114,17565
"충청북도","25~29",20427,22975,26232,29310,29960
"충청북도","30~34",15496,16506,18521,21237,23588
"충청북도","35~39",13449,13988,14585,15639,15742
"충청북도","40~44",12468,12328,12949,14131,15163
"충청북도","45~49",14882,15000,15312,15714,15880
"충청북도","50~54",16192,17124,17924,19609,20140
"충청북도","55~59",19395,19391,20327,21147,21806
"충청북도","60~64",17944,19324,21150,24239,25782
"충청북도","65~69",12818,13952,16282,19261,20951
"충청북도","70~74",11712,11982,12642,13544,14792
"충청북도","75~79",13388,13301,13505,13479,13375
"충청북도","80~84",10528,11244,11514,12457,13665
"충청북도","85세 이상",6346,7110,8073,9435,10592
"충청남도","합계",270497,280773,304973,327432,340741
"충청남도","20세 미만",3420,3328,5406,3749,3409
"충청남도","20~24",20788,22049,26316,25283,23999
"충청남도","25~29",25663,27337,30885,33983,34523
"충청남도","30~34",22823,23609,25522,28053,29871
"충청남도","35~39",19971,20087,20646,21961,22277
"충청남도","40~44",16770,16857,18007,20116,21353
"충청남도","45~49",19404,19618,20237,20917,21465
"충청남도","50~54",20128,20939,22102,24610,25668
"충청남도","55~59",24178,24523,25582,26341,27101
"충청남도","60~64",21654,23264,25799,30013,31877
"충청남도","65~69",16848,17806,20045,23273,25653
"충청남도","70~74",15415,16089,17619,19359,20590
"충청남도","75~79",17835,17591,17741,17870,17599
"충청남도","80~84",15516,16283,16295,17145,18880
"충청남도","85세 이상",10084,11393,12771,14759,16476
"전라북도","합계",232587,238746,255269,276153,284613
"전라북도","20세 미만",3083,3325,3798,3618,2582
"전라북도","20~24",18073,18745,21976,22397,20185
"전라북도","25~29",16867,18264,20906,23897,24560
"전라북도","30~34",13198,13680,15539,17778,19422
"전라북도","35~39",13304,13055,13402,14193,14203
"전라북도","40~44",12921,12650,13171,14324,14931
"전라북도","45~49",16132,16169,16426,16898,17249
"전라북도","50~54",17262,17679,18814,20469,21343
"전라북도","55~59",21031,20863,21310,22188,23030
"전라북도","60~64",20632,21482,23174,26076,27267
"전라북도","65~69",17066,17764,19255,21792,23628
"전라북도","70~74",16550,17445,19054,20482,20877
"전라북도","75~79",19796,19138,18834,19312,18701
"전라북도","80~84",16247,16813,16857,17900,20140
"전라북도","85세 이상",10425,11674,12753,14829,16495
"전라남도","합계",235062,238147,256633,274108,283429
"전라남도","20세 미만",2095,1869,2647,1536,1242
"전라남도","20~24",9021,9384,12334,11570,9920
"전라남도","25~29",12292,13766,16345,18610,19095
"전라남도","30~34",11108,11382,12926,14721,16104
"전라남도","35~39",11953,12056,12505,12987,12792
"전라남도","40~44",11647,11373,12310,13586,14330
